label,place,extract,url,size,image,sortkey,views,latitude,longitude
Jan Hus,Husinec,"<p><b>Jan Hus</b> byl římskokatolický kněz, český středověký náboženský myslitel, vysokoškolský pedagog, reformátor a kazatel. Hus byl, po Johnu Wycliffovi, jehož myšlenkami a argumentací byl inspirován, jedním z prvních reformátorů církve, který téměř o jedno století předběhl své následníky – reformátory Luthera, Bezu, Kalvína a Zwingliho.</p>",https://cs.wikipedia.org/wiki/Jan_Hus,4,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/D%C5%99evoryt_z_Husovy_Postilly%2C_oti%C5%A1t%C4%9Bn%C3%A9_v_Praze_roku_1563.jpg/293px-D%C5%99evoryt_z_Husovy_Postilly%2C_oti%C5%A1t%C4%9Bn%C3%A9_v_Praze_roku_1563.jpg,11,16405,49.05504839,13.98698642
Božena Němcová,Wien,"<p><b>Božena Němcová</b>, rodným jménem <b>Barbora Novotná</b>, později <b>Barbora Panklová</b> byla česká spisovatelka národního obrození. Někdy bývá řazena k pozdnímu romantismu nebo ranému realismu, většinou je však umisťována na rozhraní těchto dvou směrů, případně je označována za autorku, která se těmto zařazením vymyká. Lze též uvažovat o souvislostech se sentimentální estetikou biedermeieru. K jejím čtenáři nejoblíbenějším a nejčtenějším dílům patří prózy <i>Babička</i> (1855) a <i>Divá Bára</i> (1856) i její pohádky.</p>",https://cs.wikipedia.org/wiki/Bo%C5%BEena_N%C4%9Bmcov%C3%A1,4,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Jan_Vil%C3%ADmek_-_Bo%C5%BEena_N%C4%9Bmcov%C3%A1.jpg/250px-Jan_Vil%C3%ADmek_-_Bo%C5%BEena_N%C4%9Bmcov%C3%A1.jpg,12,15314,48.20833,16.373064
Jaromír Jágr,Kladno,"<p><b>Jaromír Jágr</b> je český hokejový útočník hrající za český prvoligový klub Rytíři Kladno. Dříve působil v amerických a kanadských klubech Pittsburgh Penguins, Washington Capitals, New York Rangers, Philadelphia Flyers, Dallas Stars, Boston Bruins, New Jersey Devils, Florida Panthers a Calgary Flames, několik let hrál také za ruský tým Avangard Omsk v KHL. V Česku je spjatý s kladenským klubem, jehož je od roku 2011 většinovým majitelem. S českou reprezentací vyhrál olympijský hokejový turnaj i mistrovství světa. Je celosvětově respektovanou a uznávanou osobností v oblasti sportu a řadí se mezi nejlepší hokejové hráče všech dob.</p>",https://cs.wikipedia.org/wiki/Jarom%C3%ADr_J%C3%A1gr,4,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Jagr_Panthers.jpg/269px-Jagr_Panthers.jpg,13,14585,50.14305556,14.10527778
Bedřich Smetana,Hlahol pražský,<p><b>Bedřich Smetana</b> byl významný český hudební skladatel období romantismu.</p>,https://cs.wikipedia.org/wiki/Bed%C5%99ich_Smetana,4,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Bedrich_Smetana.jpg/264px-Bedrich_Smetana.jpg,14,12834,50.07805634,14.41444397
Bedřich Smetana,Litomyšl,<p><b>Bedřich Smetana</b> byl významný český hudební skladatel období romantismu.</p>,https://cs.wikipedia.org/wiki/Bed%C5%99ich_Smetana,4,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Bedrich_Smetana.jpg/264px-Bedrich_Smetana.jpg,15,12834,49.87206438,16.31057647
Jiřina Bohdalová,Divadlo Na Jezerce,<p><b>Jiřina Bohdalová</b> je česká herečka.</p>,https://cs.wikipedia.org/wiki/Ji%C5%99ina_Bohdalov%C3%A1,4,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Ji%C5%99ina_Bohdalov%C3%A1_2019.jpg/240px-Ji%C5%99ina_Bohdalov%C3%A1_2019.jpg,16,11145,50.058127,14.444
Svatý Václav,Budeč (hradiště),"<p><b>Svatý Václav</b> byl český kníže a světec, který je hlavním patronem českého národa a symbolem české státnosti.</p>",https://cs.wikipedia.org/wiki/Svat%C3%BD_V%C3%A1clav,4,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Votivni_obraz_Ocko_-_Vaclav.jpg/215px-Votivni_obraz_Ocko_-_Vaclav.jpg,17,10147.5,50.1911,14.2442
Antonín Dvořák,Kostel svatého Vojtěcha (Nové Město),<p><b>Antonín Leopold Dvořák</b> byl jedním z nejvýznamnějších českých hudebních skladatelů a je světově nejhranějším českým skladatelem vůbec.</p>,https://cs.wikipedia.org/wiki/Anton%C3%ADn_Dvo%C5%99%C3%A1k,4,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Dvorak.jpg/258px-Dvorak.jpg,18,10067,50.07857425,14.41519573
Antonín Dvořák,National Conservatory of Music of America,<p><b>Antonín Leopold Dvořák</b> byl jedním z nejvýznamnějších českých hudebních skladatelů a je světově nejhranějším českým skladatelem vůbec.</p>,https://cs.wikipedia.org/wiki/Anton%C3%ADn_Dvo%C5%99%C3%A1k,4,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Dvorak.jpg/258px-Dvorak.jpg,19,10067,40.73972222,-73.99680556
Antonín Dvořák,Nelahozeves,<p><b>Antonín Leopold Dvořák</b> byl jedním z nejvýznamnějších českých hudebních skladatelů a je světově nejhranějším českým skladatelem vůbec.</p>,https://cs.wikipedia.org/wiki/Anton%C3%ADn_Dvo%C5%99%C3%A1k,4,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Dvorak.jpg/258px-Dvorak.jpg,20,10067,50.26155814,14.298891769999999
